EC,TDS,pH,HCO3,Cl,SO4,Ca ,K ,Mg,Na ,NO3,Al,Co,Cu ,Fe ,Mn ,Ni ,Zn ,Y
645.0,413.0,7.9,85.0,91.0,7.0,12.0,5.0,15.0,52.0,19.0,0.403,0.014,0.037,0.06,0.003,0.082,0.0,0
488.0,312.0,7.7,92.0,87.0,8.0,4.0,7.0,11.0,62.0,12.0,0.38,0.012,0.032,0.075,0.002,0.089,0.0,0
491.0,314.0,7.4,82.0,68.0,8.0,7.0,6.0,6.0,53.0,10.0,0.4075,0.01,0.045,0.083,0.003,0.092,0.0,0
392.0,251.0,8.1,45.0,65.0,5.0,5.0,6.0,10.0,28.0,8.0,0.3252,0.015,0.03,0.028,0.004,0.084,0.0,0
399.0,255.0,7.7,43.0,83.0,11.0,6.0,7.0,9.0,38.0,8.0,0.3515,0.029,0.24,0.028,0.001,0.085,0.0,0
657.0,420.0,7.3,55.0,121.0,9.0,14.0,8.0,15.0,50.0,21.0,0.336,0.023,0.025,0.024,0.002,0.092,0.0,0
897.0,574.0,6.5,55.0,157.0,11.0,27.0,12.0,16.0,60.0,29.0,0.377,0.029,0.013,0.021,0.003,0.098,0.0,0
658.0,421.0,7.2,87.0,125.0,10.0,15.0,15.0,13.0,84.0,16.0,0.323,0.025,0.011,0.022,0.003,0.085,0.0,0
470.0,301.0,7.0,37.0,91.0,7.0,11.0,5.0,13.0,33.0,5.0,0.331,0.025,0.03,0.029,0.004,0.09,0.0,0
1821.0,1165.0,7.5,226.0,223.0,35.0,55.0,12.0,39.0,104.0,3.0,0.366,0.016,0.037,0.025,0.002,0.09,0.0,1
3607.0,2308.0,7.3,459.0,524.0,45.0,175.0,124.0,28.0,278.0,12.0,0.3092,0.014,0.52,0.059,0.038,0.077,0.0,2
588.0,376.0,8.1,48.0,74.0,15.0,10.0,8.0,19.0,39.0,21.0,0.3328,0.0,0.268,3.146,0.014,0.077,0.0,1
9844.0,6300.0,7.0,1903.0,1531.0,51.0,115.0,634.0,101.0,1144.0,12.0,0.3697,0.022,0.073,1.377,0.239,0.111,0.0,2
967.0,619.0,8.9,214.0,66.0,35.0,59.0,6.0,30.0,22.0,2.0,0.315,0.013,1.111,0.092,0.076,0.1,0.0,1
751.0,481.0,7.4,78.0,141.0,13.0,15.0,14.0,28.0,65.0,15.0,0.3467,0.025,0.261,0.075,0.08,0.084,0.0,1
2807.0,1796.0,6.1,357.0,457.0,23.0,89.0,121.0,33.0,258.0,19.0,0.3425,0.009,0.201,1.022,0.062,0.085,0.0,2
468.0,300.0,7.1,12.0,50.0,8.0,12.0,4.0,3.0,19.0,14.0,0.32,0.027,0.147,5.488,0.021,0.083,0.0,2
1445.0,925.0,6.2,121.0,174.0,5.0,51.0,58.0,21.0,49.0,14.0,0.2755,0.014,0.092,0.096,0.138,0.085,0.0,1
557.0,356.0,6.1,104.0,50.0,6.0,15.0,10.0,12.0,26.0,6.0,0.3072,0.03,0.09,0.046,0.035,0.086,0.0,0
1723.0,1162.0,7.0,297.0,261.0,124.0,26.0,5.0,20.0,306.0,12.0,0.343466667,0.019818867,0.1229711,0.405977267,0.0257057,0.085063533,0.0,1
1040.0,666.0,8.1,177.0,166.0,16.0,17.0,6.0,23.0,103.0,22.0,0.3483,0.024,0.045,0.049,0.009,0.09,0.0,1
225.0,144.0,9.5,52.0,40.0,2.0,9.0,5.0,9.0,15.0,1.0,0.33,0.022,0.01,0.037,0.002,0.067,0.0,0
274.0,175.0,8.7,48.0,42.0,4.0,6.0,4.0,4.0,25.0,6.0,0.453,0.024,0.026,0.204,0.001,0.077,0.0,0
280.0,179.0,7.2,52.0,58.0,4.0,11.0,5.0,8.0,23.0,4.0,0.3418,0.029,0.037,0.047,0.006,0.09,0.0,0
902.5,590.9,7.0,84.9,193.5,26.0,29.0,10.0,25.5,87.5,13.0,0.3033,0.022776,0.061,0.035855,0.044534,0.089597,0.0,1
586.5,371.56,6.63,55.0,116.5266625,34.0,21.0,7.5,14.5,67.5,14.0,0.4025,0.232855,0.137351,0.340092,16.8149,0.225444,0.0,2
1352.0,857.46,5.575,155.5,248.0,58.0,45.5,15.5,27.0,118.5,4.0,0.3199,0.021138,0.04244,0.0267,0.005144,0.0849,0.0,1
15606.0,8446.4,6.665,431.5,4454.0,281.5,148.0,334.0,126.0,3033.5,24.0,0.3419,0.092256333,0.080263667,0.134215667,5.621526,0.133313667,0.0,2
292.0,191.3,6.4,76.05,53.9715125,12.5,11.5,5.0,12.5,31.5,3.0,0.3072,0.03,0.09,0.046,0.035,0.086,0.0,0
