pH,EC,TDS,Na,K,Ca,Mg,Cl,HCO3,SO4,NO3,F,Ag ,B ,Cd ,Co,Cr ,Cu ,Fe ,Mn ,Pb ,Zn ,Y
5.85,335,214.4,13.0,0.143829,43.0,8.0,35.0,136.0,3.73,6.0,0.1,0.00122,0.002902,0.003458,0.003006,0.003332,0.0,0.026376,0.000887,0.022057,0.000622,0
5.95,221,141.44,11.0,2.0,22.0,7.0,23.0,102.0,2.99,2.0,0.153,0.004704,0.013692,0.003797,0.003367,0.003835,0.0,0.026209,0.001006,0.015798,0.0,0
5.77,532,340.48,44.0,6.29439,47.0,16.0,83.0,168.0,13.1,16.0,0.29,0.003363,0.0,0.004078,0.005355,0.004501,0.0,0.025426,0.001376,0.019064,0.0,0
5.92,583,373.12,31.4029,3.85479,56.0,17.0,57.943025,251.0,10.0,12.0,0.224,0.001672,0.017333,0.004174,0.006636,0.002871,0.0,0.025,0.000843,0.021626,0.000946,0
6.14,287,183.68,20.2339,1.36169,24.9046,13.0,35.0,134.0,7.72,4.0,0.287,0.004923,0.007069,0.004127,0.007323,0.003624,0.0,0.027644,0.000985,0.019975,0.00164,0
6.04,334,213.76,21.9774,0.917516,24.0,21.0,45.0,137.0,5.95,5.0,1.87,0.00252,0.0,0.004094,0.005418,0.003983,0.0,0.02583,0.000886,0.018264,0.001775,0
6.06,218,139.52,15.8595,1.0,22.8457,10.0,36.0,88.0,7.39,2.0,0.156,0.001566,0.0,0.003825,0.00605,0.003149,0.0,0.026519,0.000718,0.018783,0.010257,0
6.07,181,115.84,7.60482,1.0,23.4644,13.399,24.832725000000003,105.0,2.43,1.0,0.0,0.004248,0.0,0.004,0.004377,0.00366,0.0,0.026059,0.010875,0.019435,0.0,0
5.48,195,124.8,12.0,3.0,18.0,9.0,41.0,46.0,2.42,6.0,0.0,0.001962,0.0,0.003888,0.00868,0.002884,0.005595,0.026544,0.076416,0.018933,0.011281,0
6.11,279,178.56,13.9354,0.740692,26.9408,17.0,33.110299999999995,130.0,6.09,4.0,0.11,0.001881,0.0,0.003067,0.004026,0.004587,0.0,0.026494,0.000964,0.022132,0.0,0
5.73,69,44.160000000000004,8.0,2.0,7.0,2.0,11.0,28.0,1.54,2.0,0.0,0.0,0.002766,0.003418,0.008115,0.002555,0.018254,0.029005,0.035925,0.017397,0.016716,0
5.98,323,206.72,45.4398,0.788299,20.0,9.0,34.0,156.0,2.01,12.0,0.279,0.009594,0.050075,0.003908,0.006115,0.003435,0.0,0.025893,0.06126,0.015669,0.0,0
5.84,302,193.28,41.4809,0.69579,21.0,11.0,64.0,102.4800000000001,5.05,8.0,0.25,0.002932,0.056615,0.003878,0.005001,0.003376,0.0,0.026176,0.006042,0.015504,0.244013,0
6.0,285,182.4,36.0783,2.0,16.0,8.0,51.0,105.0,5.98,5.0,0.218,0.005293,0.041601,0.002801,0.003538,0.003154,0.0,0.026381,0.001217,0.017075,0.001961,0
6.1,68,43.52,6.0,0.502413,9.0,4.0,26.0,13.0,2.48,0.96,0.0,0.004115,0.007142,0.004087,0.00456,0.003472,0.006597,0.028624,0.007509,0.021013,0.0142,0
5.65,237,151.68,28.2435,1.95988,17.0,5.0,48.0,80.0,2.1,0.0,0.118,0.002721,0.0,0.003992,0.0069,0.003302,0.0,0.028368,0.001212,0.014454,0.0,0
5.78,73,46.72,5.73342,1.0,8.0,3.0,14.0,26.0,2.28,0.0,0.0,0.00164,0.0,0.003347,0.004305,0.003296,0.0,0.026709,0.00123,0.019932,0.001158,0
7.7,59,37.76,6.70254,1.0,6.0,2.0,11.0,25.0,2.22,4.0,0.0,0.00426,0.0,0.002642,0.004109,0.006016,0.000291,0.081493,0.011287,0.019708,0.088052,0
5.6,198,126.72,15.0,1.0,20.0,8.0,35.0,84.0,1.5,3.0,0.0,0.003718,0.008176,0.003395,0.006097,0.003422,0.005167,0.026818,0.000895,0.017101,0.518751,0
5.68,266,170.24,26.0,3.0,27.0,6.0,41.0,102.0,6.07,8.81,0.127,0.002581,0.0,0.00392,0.006291,0.003977,0.0,0.025744,0.001167,0.020186,0.005564,0
5.99,1486,951.04,147.367,13.0,114.816,36.0,380.76845000000003,275.4150000000003,54.8,15.0,0.21,0.002454,0.119834,0.003113,0.005077,0.00341,0.0,0.029247,0.001081,0.019588,0.002425,0
6.45,1603,1025.92,205.0,25.0,90.0,46.0,402.0,304.0,39.8,7.0,0.49,0.014005,0.059796,0.003014,0.005057,0.003629,0.0,0.023804,0.004114,0.021519,0.015842,1
6.81,398,254.72,65.855,2.28816,13.4857,10.6167,82.77575,115.29,23.3,2.0,0.79,0.001103,0.049656,0.003968,0.005825,0.003106,0.0,0.029256,0.063148,0.016636,0.00075,0
7.34,3770,2412.8,814.0,45.0,124.0,22.0,869.0,826.0,275.0,49.0,0.73,0.003127,0.5672,0.003553,0.003974,0.003705,0.00253,0.050992,0.001056,0.020068,0.0,2
8.14,3928,2513.92,732.0,53.0,158.0,27.0,794.0,756.0,269.0,45.0,1.12,0.0,0.455055,0.00266,0.004503,0.003353,0.0,0.024855,0.001523,0.020948,0.001953,2
7.62,1835,1174.4,349.0,12.0,90.0,12.0,357.0,387.0,148.0,26.0,1.35,0.008291,0.16294,0.003975,0.007207,0.003398,0.0,0.023858,0.001306,0.015543,0.000293,1
7.49,2441,1562.24,514.0,36.0,108.0,14.0,708.0,401.0,87.0,49.0,2.16,0.003048,0.328526,0.0028770000000000002,0.010067,0.002807,0.0,0.026592,0.00093,0.018132,0.0,1
7.73,146,93.44,13.2395,1.0,11.0,10.0,40.0,36.0,9.0,12.3,0.0,0.012407,0.086904,0.003028,0.006975,0.003979,0.002498,0.028382,0.001117,0.019487,0.005189,0
6.86,1128,721.92,145.0,5.0,47.0,25.0,114.0,478.0,10.4,11.0,0.75,0.003727,0.33005,0.003903,0.004328,0.004145,0.0,0.031612,0.001023,0.014135,0.059256,0
6.82,265,169.6,13.0,2.39028,21.0,14.0,54.0,82.0,5.38,5.0,0.31,0.002173,0.026377,0.003367,0.005219,0.006093,0.002329,0.026648,0.002647,0.019324,0.007854,0
6.61,212,135.68,14.0396,2.0732,16.0,13.0,40.0,82.0,3.11,8.0,0.255,0.009395,0.023749,0.004299,0.003856,0.005576,0.012022,0.027146,0.002861,0.021225,0.030587,0
6.43,232,148.48,21.0,2.84,16.0,11.0,42.0,77.0,5.21,4.0,0.32,0.001119,0.023433,0.003694,0.005798,0.006209,0.0,0.027298,0.002505,0.022998,0.004835,0
6.32,238,152.32,26.0,1.99476,22.0,13.0,60.0,73.0,3.88,6.0,0.23,0.005402,0.011855,0.003604,0.005155,0.006063,0.001121,0.027054,0.002851,0.02354,0.003721,0
6.28,102,65.28,10.0,2.0,8.0,6.0,21.0,42.0,3.46,2.63,0.19,0.002769,0.022266,0.004471,0.005571,0.006318,0.001313,0.027275,0.002602,0.018905,0.004201,0
6.24,171,109.44,18.0,1.33681,12.0,7.0,25.0,65.0,6.0,2.0,0.286,0.003817,0.016876,0.003365,0.008492,0.011071,0.0,0.026703,0.002549,0.021591,0.003838,0
6.13,165,105.60000000000001,11.0,2.90718,16.0,5.0,27.0,51.0,3.4,2.4,0.29,0.006815,0.014767,0.004386,0.008307,0.004493,0.004031,0.029741,0.003084,0.019227,0.005599,0
6.74,401,256.64,36.2082,2.0,35.0,14.0,51.0,147.0,12.8,14.0,0.25,0.002917,0.014593,0.003636,0.005023,0.004569,0.002459,0.026636,0.002885,0.022014,0.005673,0
6.5,653,417.92,79.0,3.15277,55.0,12.0,56.0,275.0,4.15,54.0,0.32,0.004129,0.02309,0.004435,0.005982,0.003764,0.001941,0.025673,0.002897,0.020625,0.003686,0
6.64,787,503.68,77.5818,7.50059,61.0,28.0,116.0,265.0,24.6,49.0,0.39,0.005251,0.023827,0.004293,0.006582,0.00524,0.003632,0.02545,0.002548,0.016724,0.004744,0
6.8,1097,702.08,126.0,5.17794,80.6258,31.0,149.0,345.0,34.5,64.0,0.37,0.003739,0.036683,0.004617,0.007031,0.004297,0.001986,0.025922,0.002966,0.018128,0.013951,0
6.72,533,341.12,22.9236,0.97665,43.0,31.0,57.943025,220.0,8.97,6.0,0.167,0.002624,0.01572,0.00347,0.005955,0.003997,0.001527,0.025764,0.002555,0.018296,0.004435,0
6.6,693,443.52,95.0,0.927381,28.0,14.0,89.0,257.0,4.3,10.0,0.43,0.001774,0.078416,0.004534,0.008991,0.004153,0.004019,0.026136,0.022458,0.020433,0.023671,0
6.53,200,128.0,23.9634,2.0,16.0,10.0,33.0,96.0,2.41,7.0,0.195,0.002692,0.021781,0.003384,0.005362,0.005389,0.001465,0.027276,0.002518,0.022948,0.024133,0
6.37,462,295.68,29.0,4.0,36.0,17.0,56.0,195.0,2.97,0.0,0.27,0.013401,0.013937,0.004535,0.004908,0.004128,0.0,0.026984,0.03705,0.022754,0.00438,0
6.48,230,147.20000000000002,19.492,1.0,26.0,8.0,41.0,91.0,10.0,4.0,0.13,0.003093,0.020351,0.004754,0.004438,0.004711,0.001544,0.026974,0.002478,0.021521,0.010621,0
6.44,195,124.8,24.0,2.0,11.0,7.0,24.0,89.0,2.43,0.0,0.17,0.0,0.022845,0.00338,0.006193,0.003859,0.001582,0.026293,0.004909,0.023554,0.003342,0
6.45,435,278.40000000000003,41.0,8.0,31.0,15.0,46.0,165.0,17.0,11.0,0.11,0.002573,0.011324,0.003751,0.00693,0.004591,0.001321,0.02665,0.002572,0.022502,0.003113,0
6.22,296,189.44,25.0,2.78419,21.0,11.0,31.0,127.0,5.53,2.0,0.12,0.003184,0.009342,0.00346,0.007901,0.005301,0.012232,0.027054,0.003546,0.025586,0.040645,0
6.52,357,228.48000000000002,13.6504,6.0,40.0,18.0,33.110299999999995,164.0,10.0,13.0,0.26,0.003773,0.006657,0.004285,0.006315,0.005298,0.0,0.026238,0.002849,0.019932,0.003225,0
6.44,125,80.0,10.0,2.0,14.0,7.0,24.0,57.0,5.0,1.0,0.14,0.002124,0.004357,0.0056185,0.0047845,0.003564,0.0,0.01567,0.0013658,0.012347,0.0048796,0
6.62,47,30.080000000000002,5.0,1.0,7.0,1.78041,13.0,18.0,2.0,0.0,0.0,0.002266,0.005106,0.003374,0.00602,0.003454,0.0024,0.032601,0.003488,0.019286,0.039046,0
6.21,104,66.56,7.0,2.0,9.0,3.0,18.0,33.0,5.0,0.0,0.0,0.002329,0.003708,0.004529,0.006733,0.004007,0.001418,0.027068,0.002928,0.017229,0.01757,0
6.17,93,59.52,8.0,1.0,12.0,2.0,22.0,31.0,2.95,0.0,0.0,0.004146,0.006405,0.003605,0.007124,0.005479,0.001681,0.03006,0.021884,0.02173,0.020452,0
